Description,Sentiment
,
Mono was not prepared correctly,
,
1 item missing,
,
Cold food,
,
I got only 4 momos in one and 5 in one,
,
The momos are out of shape. It?s cold,
,
"Issue created by rashmi.sajwan_bpoc@external.swiggy.in on Mar 4, 2022, 01:36 PM",
,
The food is toooo spicy and have added more masala.,
,
"The food which I ordered is too moist and cold, I want a refund for this order. I'm disappointed",
,
"Issue created by saipriya_cb@external.swiggy.in on Feb 28, 2022, 09:18 PM",
,
"Issue created by dalvir.singh1_dit@external.swiggy.in on Mar 2, 2022, 10:57 PM",
,
"It was too sweet rather than hot? They added too much sugar and it tasted pathetic.. The taste of fish was not good either, all I could taste was maida?",
,
Less quantity,
,
I have ordered a cheese dip as an add on and haven't received it with my order,
,
chatney needs to be spicy and also the authentic Schezwan spicy chatney...,
,
same as above stream momos kya hai,
,
nice food nice delivery,
,
Mayo dip was missing,
,
I'm from Kolkata and it's the same taste here. That's says about the quality of food they maintain. Absolutely WOW!,
,
Can’t believe I ordered and waited for so long with the worst delivery so far,
,
same as above stream momos kya hai,
,
chatney needs to be spicy and also the authentic Schezwan spicy chatney...,
,
very good ???,
,
worst service from both Zomato and wow momos... I ordered for something and received something else... the food was spilt... tried to contact ur team but got no response...,
,
good delivery,
,
fast delivery,
,
did not received the veg Steam momo not satisfied i want refund,
,
Pepsi was not cold.,
,
Most worthless. Totally bad quality and bad taste.,
,
satisfied,
,
bad experience,
,
Just next level testy momos they served. Must try their Chicken &amp; Cheese Pan Fried Momo. It was also so yummy ??,
,
Dishes of this restaurant are really just amazing.. Availability lots of dishes make this restaurant more special. They always give quality food.,
,
The delivery person was very sweet,
,
only received 5 momos,
,
Just next level testy momos they served. Must try their Chicken &amp; Cheese Pan Fried Momo. It was also so yummy ??,
,
Dishes of this restaurant are really just amazing.. Availability lots of dishes make this restaurant more special. They always give quality food.,
,
The delivery person was very sweet,
,
fast delivery,
,
worst service from both Zomato and wow momos... I ordered for something and received something else... the food was spilt... tried to contact ur team but got no response...,
,
good delivery,
,
very good ???,
,
I'm from Kolkata and it's the same taste here. That's says about the quality of food they maintain. Absolutely WOW!,
,
Can’t believe I ordered and waited for so long with the worst delivery so far,
,
Mayo dip was missing,
,
nice food nice delivery,
,
aqsome,
,
also received 17 momos in total instead of 20.,
,
Reduce the price of your products so that more people can buy from your place without any hesitation,
,
driver dont know the route well,
,
It was great in taste as always and delivery man was punctual in time.,
,
value for money?? . food quality better ??,
,
They only provided red sauce... Not green one. I ordered 3 items but didn't get single green sauce.,
,
It was great in taste as always and delivery man was punctual in time.,
,
value for money?? . food quality better ??,
,
They only provided red sauce... Not green one. I ordered 3 items but didn't get single green sauce.,
,
good ??????,
,
awesome????,
,
had a great meal...,
,
"Me and my friends ordered foods from this place, first of all the packaging was so so good, there was no spilling issues, portions were really great, was enough for us... Quality was amazing.. foods were fresh and hot when arrived to me..",
,
WOW Momo sending stale chicken Momos says it all... this Brand was so so good but has changed now!!!,
,
overall very good.,
,
Very bad experience . They did packaging mistake I ordered everything in veg and all of the food products came with non veg packaging . The food is also horrible. Would not recommend this .,
,
The store mixed up the desh and stale moms as they think that customer can’t taste the difference in them,
,
just wow,
,
awesome taste.... always love to order from wow! outlets...,
,
Simply liked it!,
,
No sauces were given during delivery,
,
Didn’t not get the momo chatney with it ?? even test was okay,
,
bad,
,
wrong item was delivered,
,
I want my money back .,
,
The veg momos were spoilt,
,
"Taste is good and customer satisfaction, cost is low and perfect place for the food and maintenance also very good totally iam giving the 5 out 5 and satisfied for the food. ",
,
lovely and just about right levels of spicy,
,
WOW Momo sending stale chicken Momos says it all... this Brand was so so good but has changed now!!!,
,
"Me and my friends ordered foods from this place, first of all the packaging was so so good, there was no spilling issues, portions were really great, was enough for us... Quality was amazing.. foods were fresh and hot when arrived to me..",
,
good ??????,
,
awesome????,
,
Very bad experience . They did packaging mistake I ordered everything in veg and all of the food products came with non veg packaging . The food is also horrible. Would not recommend this .,
,
had a great meal...,
,
The store mixed up the desh and stale moms as they think that customer can’t taste the difference in them,
,
overall very good.,
,
maja aaa geya??,
,
food r so much spicy.,
,
i ordered 2plate and recieved only 5 pieces in it which is nonveg momos,
,
Little more lettuces and tomatoes if uh had added with little more Mayo it would had been better in taste,
,
"The taste has changed, the momos have a thick covering which is uncooked and is unpleasant to eat. They seem uncooked or frozen ones which are not properly thawed before steaming them!!",
,
good delivery,
,
Wrong product,
,
I Think You Need To Add One More Sauce (sweet tested) With Momo.,
,
too much late in delivery and delivery partner maybe doesn't know the proper adress as well..please take care of time on my next order,
,
extremely spicy,
,
Good,
,
how am I supposed to eat without sauce... the workers there are irresponsible should have check before sending.. this is not the first time...,
,
it was very good,
,
This is Not How Momo is Parcelled the Food Quality and Veg and Mixture are Horrible,
,
good delivery,
,
too much late in delivery and delivery partner maybe doesn't know the proper adress as well..please take care of time on my next order,
,
Wrong product,
,
"The taste has changed, the momos have a thick covering which is uncooked and is unpleasant to eat. They seem uncooked or frozen ones which are not properly thawed before steaming them!!",
,
I Think You Need To Add One More Sauce (sweet tested) With Momo.,
,
Little more lettuces and tomatoes if uh had added with little more Mayo it would had been better in taste,
,
i ordered 2plate and recieved only 5 pieces in it which is nonveg momos,
,
all are good but we need atleast one type of sauce..,
,
Chicken chilli Teaste is Awesome........??????????????????????......????????????????????????........,
,
no thing ????,
,
no thing ????,
,
Chicken chilli Teaste is Awesome........??????????????????????......????????????????????????........,
,
all are good but we need atleast one type of sauce..,
,
too much chilli,
,
Wow Momos please improve quality and packaging.,
,
tasty,
,
delayed service... . took more than 1 hour for 3 km distance,
,
"Did not even send sidedish (sauce), only reason for buying momos are its combination with spicy chutney. without that it's horrible to eat a steamed momo.. . Won't recommend. Probably they have customers hence their customer service is a don't care policy..... . hate it..",
,
"The delivery was late...ordered first time from Zomato, such behaviour and carelessness was not expected on your part...the package was torn..I ordered momos, they were not fresh and seemed a bit cold..the chutney(dip) was spread all over the package..it was really disheartening pls try to improve next time..??",
,
"Did not even send sidedish (sauce), only reason for buying momos are its combination with spicy chutney. without that it's horrible to eat a steamed momo.. . Won't recommend. Probably they have customers hence their customer service is a don't care policy..... . hate it..",
,
delayed service... . took more than 1 hour for 3 km distance,
,
Wow Momos please improve quality and packaging.,
,
"The delivery was late...ordered first time from Zomato, such behaviour and carelessness was not expected on your part...the package was torn..I ordered momos, they were not fresh and seemed a bit cold..the chutney(dip) was spread all over the package..it was really disheartening pls try to improve next time..??",
,
just wowwww,
,
accident.. Andheri boy is very good,
,
not good services,
,
momo was 9 pis,
,
All the momos were awesome in taste.,
,
Delayed,
,
it was so bad that I might make me not eat momos,
,
very good,
,
too much chilli,
,
tasty,
,
delicious!,
,
very good ??,
,
cold momos. not steamed well,
,
aswam??,
,
The coating was soo hard it was stale i am 100% sure plus the chicken was not tasting usual. I am a big wow momo fan pls correct these ??????,
,
when we are ordering from a good place we don't expect this type,
,
add more offers where Pepsi is absent or where Mazza and other are added,
,
it was so bad that I might make me not eat momos,
,
not good services,
,
Delayed,
,
no chillness in beverages??,
,
Too salty. Should reduce salt in the momos,
,
All the momos were awesome in taste.,
,
momo was 9 pis,
,
accident.. Andheri boy is very good,
,
just wowwww,
,
Too salty. Should reduce salt in the momos,
,
no chillness in beverages??,
,
aswam??,
,
delicious!,
,
when we are ordering from a good place we don't expect this type,
,
cold momos. not steamed well,
,
add more offers where Pepsi is absent or where Mazza and other are added,
,
The coating was soo hard it was stale i am 100% sure plus the chicken was not tasting usual. I am a big wow momo fan pls correct these ??????,
,
very good ??,
,
very good,
,
Received regular momo<br/>,
,
"We have received the momos but without any chuttney, how are we supposed to eat bland momos without the chuttney",
,
"In place of two plates of momos, I have received two burgers ",
,
I order one chocolate momo.in bundle and another differently i got only one,
,
And both of them tasted bland,
,
2 Pepsi are missing,
,
"Issue created by bhanupriya.ratra_sb@external.swiggy.in on Mar 13, 2022, 10:25 PM",
,
It smelled like rotten,
,
"Issue created by naresh.m_bpoc@external.swiggy.in on Mar 7, 2022, 04:34 PM",
,
I had ordered three portions of Darjeeling steam momos and received only 2,
,
"I ordered steamed momos , got something else",
,
Toooooo spicy....not able to eat,
,
"Instead of fried corn cheese I got fried paneer. My wife doesn't eat it. <br/>Instead of fried veg, I got steamed veg. ",
,
There was no seal and number of momos was also less than the other box.,
,
Chicken Moburg [2 Pcs] and 2 Pepsi [250ml],
,
One is Darjeeling one is steamed,
,
Please connect with customer care,
,
It?s cold and lost it?s taste,
,
The filling is stale and so is the cheese..,
,
I ordered 2 items I recieved only veg pan fried,
,
Only chicken darjeeling steam momo + chicken thukpa soup only the momo has arrived. The soup is missing,
,
I have ordered from buy one get one free segment. But didn't received the free items,
,
1 item missing,
,
"Issue created by rahulkumar3_tm@external.swiggy.in on Mar 10, 2022, 11:58 PM",
,
"Issue created by taljinder.singh_dit@external.swiggy.in on Mar 7, 2022, 10:18 PM",
,
Received non veg burger,
,
"Issue created by sumit.4_tm@external.swiggy.in on Mar 11, 2022, 02:59 PM",
,
Food is spilled,
,
I have ordered 4 items for buy 1 get 1 but I have only received 4 items...,
,
I have ordered 3 combos. Of 2 moburg and 2 pepsi each but they only sent 4 moburg instead of 6 and 2 pepsi instead of 6,
,
Burnt,
,
Momos are not steamed.. they are raw,
,
"The momos were so spicy, nobody was able to eat it. We have tried Chilli chicken momos from different places but they are never this spicy. Couldn?t even finish the plate. Make sure it doesn?t happen.",
,
MY ITEMS ARE MISSING. I HAVE ORDERED 2 PLATES I E 8 PACKETS OF MOMOS. BUT I HAVE RECEIVED ONLY 1 PLATE THAT IS 4 PACKETS OF MOMOS,
,
Hopeless quality,
,
I had ordered two plates of paneer momo as stated... But received only one plate<br/>,
,
"The veg chilli momo had stale momos, it was stinking when we took a bite.",
,
"Issue created by owais.sofi_tm@external.swiggy.in on Mar 12, 2022, 12:57 PM",
,
3 plates missing,
,
Chicken Cheese Fried Momo missing from order.,
,
Received wrong item. Ordered paneer fried momos,
,
Have received the momos without the spicy gravy,
,
"My cheese dip is missing , i have been charged",
,
The food is not worth the price,
,
Missing dip and momo piece,
,
momos chatni was missing,
,
"We have ordered 4, but one item is missing ",
,
"Issue created by sanjay.2_bpoc@external.swiggy.in on Mar 12, 2022, 05:33 PM",
,
"Issue created by rinki.mazumdar_cb@external.swiggy.in on Mar 11, 2022, 07:06 PM",
,
"Issue created by abhay.sharma1_dgt@external.swiggy.in on Mar 10, 2022, 11:55 PM",
,
One PKG with delivered with 3 pieces and one PKG was delivered with four pieces.,
,
I didn?t receive 2 dips and one Moburg,
,
Item quantity machine,
,
Will I get my missing order or get refund,
,
"Issue created by raman.mann_tm@external.swiggy.in on Mar 13, 2022, 05:20 PM",
,
Missing,
,
The offer says I get one free . Not recieved,
,
Veg sweet corn soup 2 nos missing inn the parcel,
,
this isn?t chicken and cheese momos its different from the other two,
,
I have ordered Darjeeling momo which is written 8 piece total. I ordered for 2 hence I should receive 16 pieces of momo and 4 burgers and 4 cold drinks. Otherwise why should I order for two. I have received only for one which comprises of 8 momos.,
,
"Issue created by aniket.mohite_kt@external.swiggy.in on Mar 7, 2022, 07:11 PM",
,
Missed the side dips that comes with momos,
,
"Issue created by nishita.shaw_cb@external.swiggy.in on Mar 8, 2022, 03:43 PM",
,
.,
,
Momo missing,
,
Cold drinks are missing,
,
Pl Refund my money.  Quality is not good,
,
"I can?t eat , very cool and smells ",
,
items ordered are different from what i received unable to add photos,
,
"Issue created by dinesh.r_kt@external.swiggy.in on Mar 10, 2022, 08:36 PM",
,
I didn?t get the dip or sauce . Only momo was given,
,
I have received paneer momo instead of cheese and corn,
,
"Issue created by bhakti.maru1_cb@external.swiggy.in on Mar 9, 2022, 08:46 PM",
,
"Issue created by dastagir.shaikh_cb@external.swiggy.in on Mar 8, 2022, 08:25 PM",
,
Packaging issue,
,
"I did not get anything extra
I got only what I ordered. Though I applied the coupon I did not receive the promised items
Can you check and tell me if I have applied a coupon offer of buy 1 get 1 ?",
,
"Rcvd one veg momo, not chicken, another one is ok",
,
Completely burnt food as you can see,
,
I have ordered momo?s but I didn?t receive any dip with it,
,
"Issue created by siddhart.kumar_fs@external.swiggy.in on Mar 10, 2022, 06:49 PM",
,
There must be a sauce delivered with this momos,
,
The oder was supposed to deliver me 10 pc of momo.... But i received only 5 pcs,
,
But have received veg momos,
,
Momo filling is tart <br/>,
,
"Despite proving special instructions not to make the food spicy and also raising a ticket for the same, the food was extremely spicy ",
,
"Issue created by geetanjali.1_tm@external.swiggy.in on Mar 10, 2022, 05:14 PM",
,
"The noodles was bland , also the delivery time took about 1 hour 15 mins",
,
"Issue created by anweshana.sinha_cb@external.swiggy.in on Mar 11, 2022, 03:58 PM",
,
good,
,
chilly momo is not fresh at all,
,
the delivery partner is so polite,
,
all three momos so tasty l like to eat with my each bite,
,
I have order chicken derailing momo steem and test really excellent. Service very fast and memo garam serv.thanks for wow momo team.keep it up,
,
all three momos so tasty l like to eat with my each bite,
,
the delivery partner is so polite,
,
I have order chicken derailing momo steem and test really excellent. Service very fast and memo garam serv.thanks for wow momo team.keep it up,
,
chilly momo is not fresh at all,
,
good,
,
No one picked the call for instructions need to improve services.,
,
Momos like sweet potato.Burger has very bad taste ????,
,
awesome,
,
Stale uncooked momos sent...badbad bad from saket branch plz improve you can't play with someone health ordered through swiggy,
,
again the same problem of smelly and stale chicken,
,
stale food chicken not appears fresh,
,
Neat packing. served fresh.,
,
again the same problem of smelly and stale chicken,
,
stale food chicken not appears fresh,
,
Stale uncooked momos sent...badbad bad from saket branch plz improve you can't play with someone health ordered through swiggy,
,
Neat packing. served fresh.,
,
No one picked the call for instructions need to improve services.,
,
I love the steam momos here and the momo burger was also good. They have a lot of options to choose from. Their momo burger could have been better. Chicken steam momos are a must to try also their chilly chicken momos are a must try once,
,
begged for extra chutney but they still didn't give it,
,
WROST SERVICE !! I ASK PLEASE GIVE EXTRA SPICY CHATNI BUT THEY NOT GIVE ME. WROST SERVICE WOW MOMOS,
,
Very good product..I love it..wooooooooooooooooooooooooowwoooooooooooooooowwoooooooooooooowooooooooooo,
,
very bed,
,
Great,
,
great behavior,
,
There was no chutney or mayonese with the momos. Burger were made just like that... no proper spreading of chutneys... momos were hard in the burger..... A very bad experience,
,
very bed,
,
WROST SERVICE !! I ASK PLEASE GIVE EXTRA SPICY CHATNI BUT THEY NOT GIVE ME. WROST SERVICE WOW MOMOS,
,
begged for extra chutney but they still didn't give it,
,
Very good product..I love it..wooooooooooooooooooooooooowwoooooooooooooooowwoooooooooooooowooooooooooo,
,
Best tandoor momos at this corner.,
,
bad thukpa balance investment is bad,
,
??,
,
Just wow..........I really love it chiken cheese fried and paneer fried......crispy momos...........,
,
good taste and quality,
,
gud job,
,
too long to deliver. momos weren't hot. they were all soggy,
,
shop pe  Employees nahi Owner hai Phone nahi Uthata Very nice Bad Experience,
,
not hot because of that it's bad,
,
Those moms were sticking. There was a  stickiness in inside of each Momo.. Cleary not even a single Momo was fresh and eatable. This is pathetic service.,
,
shop pe  Employees nahi Owner hai Phone nahi Uthata Very nice Bad Experience,
,
too long to deliver. momos weren't hot. they were all soggy,
,
not hot because of that it's bad,
,
gud job,
,
good taste and quality,
,
Best tandoor momos at this corner.,
,
??,
,
bad thukpa balance investment is bad,
,
Just wow..........I really love it chiken cheese fried and paneer fried......crispy momos...........,
,
Great,
,
great behavior,
,
There was no chutney or mayonese with the momos. Burger were made just like that... no proper spreading of chutneys... momos were hard in the burger..... A very bad experience,
,
Momos delivered without sauce.......,
,
we ordered for 2 Pepsi but got 2 7ups that too not cold. even the bill has charged us for pepsi. wrong products delivered. very bad experience.,
,
Human hair found inside the momos.,
,
great staff good qulaity food,
,
quality so good,
,
good..,
,
bro they didn't provide the chutneys nd the momos should be 5 pieces but only 4 was there...,
,
Delayed delivery taste not good,
,
All is well,
,
nice guy,
,
less quantity and uncooked momo,
,
its not wow momo.,
,
please enhance the quality.,
,
"The restaurant did not pack the orders well, one of the boxes of momos was not closed properly &amp; the drink had spilled all over the bag, we had to discard a box of momo’s and the drink",
,
Order received open box and no spoons not acceptable at all,
,
The restaurant took too long to confirm,
,
"it was amazing. everything from the burger buns being fresh, to the momos being perfect. BUT, I would strongly recommend wow momo to reduce the amount of sauce brushed on the momos. Otherwise, it would have been 5 stars.",
,
it is delicious,
,
Food was totally made with chilie. Extremely chilie. sauce should be served separately not as mixed with the food.,
,
soo good,
,
less quantity and uncooked momo,
,
"The restaurant did not pack the orders well, one of the boxes of momos was not closed properly &amp; the drink had spilled all over the bag, we had to discard a box of momo’s and the drink",
,
nice guy,
,
it is delicious,
,
"it was amazing. everything from the burger buns being fresh, to the momos being perfect. BUT, I would strongly recommend wow momo to reduce the amount of sauce brushed on the momos. Otherwise, it would have been 5 stars.",
,
Order received open box and no spoons not acceptable at all,
,
please enhance the quality.,
,
The restaurant took too long to confirm,
,
All is well,
,
good..,
,
Human hair found inside the momos.,
,
Delayed delivery taste not good,
,
quality so good,
,
great staff good qulaity food,
,
bro they didn't provide the chutneys nd the momos should be 5 pieces but only 4 was there...,
,
Momos delivered without sauce.......,
,
we ordered for 2 Pepsi but got 2 7ups that too not cold. even the bill has charged us for pepsi. wrong products delivered. very bad experience.,
,
Those moms were sticking. There was a  stickiness in inside of each Momo.. Cleary not even a single Momo was fresh and eatable. This is pathetic service.,
,
momo theek nahi thaa.... asli momo toh mullik phatak ke paas h 30 rupya per plate with a soup freee.,
,
Corn momos are stale and pan fried momos sauce taste worst and,
,
There is no sauce in the momos,
,
the package is opened n the momos are crushed inside,
,
"I ordered 2 chicken momos , instead i got a veg cheese corn momo ",
,
Cheese momos delivered 4 in quantity instead of 5,
,
The chutney served is stale. Not in eatable condition and is smelling badly,
,
Steamed momos,
,
Spillage and wasted packs,
,
First of all there is no chutney in the package. And we didn?t received Fried chicken momos ?. And how people eat momos with chutney?????????? I want my money back ?. ASAP,
,
Only pan fried momos were delivered. The other item wasn't delivered,
,
The was cold and took a long to deliver<br/>,
,
Whole food is cold and soggy,
,
I have ordered chicken cheese fried momo and this was something else. There were only two fried cheese chicken mom and rest of the momo were something else. You guys have mixed up. I want my money back. Please look into this matter,
,
Along with rhe Combo pack..i had ordered Chicken moburg. Tats not delivred.,
,
I hour late delivery eith whole burger spilled,
,
Ordered two steam Darjeeling vegetable momo and recieved two chicken momo in place.. shameful.. please refund,
,
The delivery is on time but the food is cold,
,
1 mocha missing.,
,
"Issue created by goswami.a_vdr_kt@external.swiggy.in on Mar 14, 2022, 03:21 PM",
,
The sauce is served separately...instead it's strewn all over the momos so messily and horribly without any care  . The sauce from this place is always very spicy and I try to avoid the sauce and only have the mom's. But instead they just threw it.,
,
"I ordered paneer butter masala momos, but have got corn and cheese instead",
,
It is all spoiled,
,
Entire Moburg was cold,
,
Ordered non-veg momo was given Veg,
,
"Issue created by paramjit.singh1_tm@external.swiggy.in on Mar 19, 2022, 04:12 PM",
,
"Issue created by achal.sachdeva_sb@external.swiggy.in on Mar 17, 2022, 04:04 PM",
,
"Issue created by syeda.287919_cb@external.swiggy.in on Mar 16, 2022, 03:50 PM",
,
Half of the order is missing,
,
Pepsi Wasnt delivered,
,
Very disappointed,
,
Its steam momos with few garlic flavours but its not what I ordered,
,
The may dip wasn't included. I added it. Nor mayo in general was given,
,
"both the momos were not properly cooked, and were moist due to which even the momos upper layer couldn?t hold up properly and the inside filling was all out.",
,
There is unwanted items. Threads are coming out of monos,
,
The steam momos smell foul,
,
Drink is missing in the order,
,
I got hairs in my food had to throW away. I deserve refund,
,
Spilled sauce,
,
I purchased  this as the buy one get one free. Only received the purchased item. Did not receive eye free one,
,
Refund my money,
,
I only received the burger but not steamed momos which was part of the combo,
,
"Too spice, was crying while eating it.",
,
I haven't received mayo and cheese dip I have paid extra for it,
,
Only pesi is missing from the combo,
,
"Issue created by standlin.ib1081_ssg@external.swiggy.in on Mar 19, 2022, 04:21 PM",
,
the momos were  torn and quality was very poor,
,
The chicken is not cooked well and is stale,
,
"Issue created by dinesh.r_kt@external.swiggy.in on Mar 14, 2022, 03:56 PM",
,
Instead of chicken darjeeling steam momos received veg darjeeling fried,
,
Sause not given,
,
It's to to to to very very very very spicy????,
,
No chutney for momos,
,
I ordered cheese corn but received different momo,
,
"Combo offer received, but chocolate momo is missing in the package. Packed same only. From the restaurant only missed the item",
,
"Issue created by faisal.siddequi_fs@external.swiggy.in on Mar 16, 2022, 04:30 PM",
,
I want refund,
,
I ordered chicken momo but received chicken cheese momo,
,
It was a combo that momo burger with twitch energy drink but thr drink didnt arrive with the order,
,
The momos are cold and there is no sauce provided for veg momo. The pan fried momo are too spicy,
,
Cold bread and stale food,
,
"Issue created by patel.manthan_tm@external.swiggy.in on Mar 16, 2022, 03:37 PM",
,
"Issue created by aamina.siddiqui_fs@external.swiggy.in on Mar 16, 2022, 01:37 PM",
,
It's cold food totally,
,
"I didnt get veggie momo got that darjeeling momo plus they had added schezwan sauce instead of tomato garlic, despite of selecting it on the customisation option and adding it as a comment",
,
I suppose to get 5 momos but i got 2 momos only,
,
Packing was not done properly,
,
Idli instead of momos,
,
I ordered chicken fried momos got veg,
,
There was 8 peaces pan fry momo. Not 10 peace,
,
"Issue created by preeti.01_tm@external.swiggy.in on Mar 18, 2022, 08:28 AM",
,
We have received the combo food but veg momos is missing,
,
"The momos are extremely stale,  they are completely dried out and taste old.. Did not expect this",
,
I ordered pan fried in schezwan sauce but its some other sauce which is tangy in flavour rather than spicy,
,
Dips or chutney is missing along with momos.how should we eat it now?,
,
I asked for chicken cheese fried momos,
,
My order was a combo. Did not receive the Pepsi,
,
Momos are stinking .. it's stale... Just hot and stale... I want full refund,
,
Just now received the order but one moburg missing,
,
Pepsi is missing,
,
"Issue created by bhanu.279131_cb@external.swiggy.in on Mar 14, 2022, 02:58 PM",
,
I found pieces of onion in it and we got 4 momos.,
,
I ordered 2 veg and 1 veg darjeeling mom but got only veg momo,
,
Hi. i ordered 2 moburg but got only one,
,
The two boxes of momos are completely stale and unedible,
,
The delivered food was cold. Expectation is that food delivered would be hot.,
,
No cheese dip in the order,
,
I ordered chicken steamed momos which are thin long ones from Wow Momo but I received these circular ones from a place called Nizaam's,
,
There was no sauce with veg momos . It's the important component of the item .how do we take it plain,
,
"Issue created by ali.ahmed_tt@external.swiggy.in on Mar 18, 2022, 11:57 AM",
,
"Items are missing, I received only 1 burger instead of 2 and momos and Pepsi is also missing",
,
"Issue created by sadya.ambareen_gv@external.swiggy.in on Mar 18, 2022, 12:03 PM",
,
"Issue created by akash.53889_kt@external.swiggy.in on Mar 18, 2022, 03:02 PM",
,
There's no doubt that wow momo would be our go-to place for a quick yet a satisfying bite. They have a variety of momos from steam to fried and veg to non veg.  We had ordered for fried corn and cheese momo which was served hot with the dip. It did satisfy our craving. The service was timely and the prices are moderate. They could work on their ambience a little more.  Must visit the place if your a momo lover.,
,
"don't know what, but something was missing. in my opinion MOMOZING's same dish is better....",
,
There's no doubt that wow momo would be our go-to place for a quick yet a satisfying bite. They have a variety of momos from steam to fried and veg to non veg.  We had ordered for fried corn and cheese momo which was served hot with the dip. It did satisfy our craving. The service was timely and the prices are moderate. They could work on their ambience a little more.  Must visit the place if your a momo lover.,
,
momo theek nahi thaa.... asli momo toh mullik phatak ke paas h 30 rupya per plate with a soup freee.,
,
soo good,
,
Food was totally made with chilie. Extremely chilie. sauce should be served separately not as mixed with the food.,
,
its not wow momo.,
,
tasteless tried to eat but failed,
,
I love the steam momos here and the momo burger was also good. They have a lot of options to choose from. Their momo burger could have been better. Chicken steam momos are a must to try also their chilly chicken momos are a must try once,
,
extremely spicy,
,
This is Not How Momo is Parcelled the Food Quality and Veg and Mixture are Horrible,
,
Good,
,
Momos like sweet potato.Burger has very bad taste ????,
,
awesome,
,
how am I supposed to eat without sauce... the workers there are irresponsible should have check before sending.. this is not the first time...,
,
it was very good,
,
provide more offers or vouchers,
,
delivery boy was extremely polite,
,
"So happy to recommend everyone this restaurant, once I ordered  Chicken Steam Momo which is very healthy and delighted in taste. You must try....",
,
"I have billing issue, in the bill it was showing 222, but zomato took 262",
,
"So yummy taste Veg Paneer Tandoori Momo , I completely love the taste of the momo,very very satisfied by the taste.",
,
Taste is good of Paneer Steam Momo with a good amount of price I ordered that one.. I am impressed by taste and price both..,
,
Sorry we can’t order this restaurant,
,
"So happy to recommend everyone this restaurant, once I ordered  Chicken Steam Momo which is very healthy and delighted in taste. You must try....",
,
Taste is good of Paneer Steam Momo with a good amount of price I ordered that one.. I am impressed by taste and price both..,
,
"So yummy taste Veg Paneer Tandoori Momo , I completely love the taste of the momo,very very satisfied by the taste.",
,
"I have billing issue, in the bill it was showing 222, but zomato took 262",
,
delivery boy was extremely polite,
,
provide more offers or vouchers,
,
tasteless tried to eat but failed,
,
"Cold momo, not even steamed. Taste is too poor.",
,
Zomato is alawyas best for on time delivery.. ??,
,
please send the Schezwan sauce with the momo,
,
Please focus on customer satisfaction,
,
good service,
,
all the food was not hot,
,
please send the Schezwan sauce with the momo,
,
"Cold momo, not even steamed. Taste is too poor.",
,
Please focus on customer satisfaction,
,
Zomato is alawyas best for on time delivery.. ??,
,
Sorry we can’t order this restaurant,
,
Wow monos pan fried and coriander  very nice awesome taste good monos love momos thank u ccd and wow momo,
,
Wow momo setup is very good. Thank u nice place cafe coffee day ........ Wow momo is best love momo lovely momos,
,
Chocolate MOmos and pan fried. Momo good taste and pan fried sauce also good tomato garlic sauce and Darjeeling sauce good,
,
Good packing momos and sauce packings best and good for health steam momos and Pepsi combo is very best combo,
,
it's too much spicy.,
,
its too much spicy??????. totally worst..,
,
not got green sauce for both portion,
,
its too much spicy??????. totally worst..,
,
it's too much spicy.,
,
Wow momo setup is very good. Thank u nice place cafe coffee day ........ Wow momo is best love momo lovely momos,
,
Wow monos pan fried and coriander  very nice awesome taste good monos love momos thank u ccd and wow momo,
,
no chutney was provided. i mean seriously,
,
Good packing momos and sauce packings best and good for health steam momos and Pepsi combo is very best combo,
,
Chocolate MOmos and pan fried. Momo good taste and pan fried sauce also good tomato garlic sauce and Darjeeling sauce good,
,
AMAZING as ever,
,
Just wow,
,
burger was super tasty but momos gravy was little bit sweet but over all experience was good,
,
No,
,
food taste was horrible burger bun was totaly burnt..  delivery boy didn't give the order properly boxes got hampered total momos was there in the packet.,
,
Best thing on menu,
,
Worst momo ever. burnet while frying.,
,
The green chutney provided had gone bad... was not edible at all.. the momos and red chutney were fine..,
,
nice,
,
wrong parcel,
,
it was burned. ever time I order but never got such experience. this time it was not good in taste and was extreme spice.,
,
wrong parcel,
,
nice,
,
The green chutney provided had gone bad... was not edible at all.. the momos and red chutney were fine..,
,
burger was super tasty but momos gravy was little bit sweet but over all experience was good,
,
Extremely spicy,
,
Best thing on menu,
,
AMAZING as ever,
,
Worst momo ever. burnet while frying.,
,
food taste was horrible burger bun was totaly burnt..  delivery boy didn't give the order properly boxes got hampered total momos was there in the packet.,
,
Just wow,
,
no chutney was provided. i mean seriously,
,
good service,
,
AWESOME,
,
bad taste,
,
Quality and quantity are getting poor day by day,
,
The portion size is less,
,
delayed delivery,
,
the momos were by far the best but lil spicy should reduce a bit to make it taste awesome,
,
"ordered 20 chicken momos, received 10",
,
ensure that the promised quantity is provided,
,
Pickle sachet was not there.,
,
It took a lot of time but very yummy momos!,
,
good food and delivery boy also good,
,
The steam momo in the combo is stale and slimy,
,
momos and chutney delivered were stale,
,
Thanx,
,
Paneer not found inside momo. Disappointed. However Chicken Darjeeling Steam momo was great.,
,
If u accept the order do value the coustomer time .. Worst experience has an coustomer from my side I stay away from ur hotel tats better,
,
Great and fast,
,
The momos were badly burnt and were not eatable at all..bad quality..please avoid the place if you want to order online as there is no quality checks from the restaurant..the container and the bag were soiled in the overflowing oil that they forgot to drain out..horrible momos... Momo lovers...please avoid.,
,
